Id,Year,Ages,Style,SalePrice,Type,Area
1,2004,Young,OneStory,192000,LotArea,3182
2,1998,Young,OneStory,213250,LotArea,10140
3,1950,Old,OneStory,128000,LotArea,9600
4,1992,Young,TwoStory,190000,LotArea,10186
5,2006,Young,TwoStory,233230,LotArea,15611
6,2005,Young,OneStory,202500,LotArea,6955
7,1955,Old,Other,165500,LotArea,9600
8,1977,Young,TwoStory,272000,LotArea,12227
9,1949,Old,TwoStory,145000,LotArea,6270
10,2009,Young,TwoStory,164500,LotArea,3951
11,1984,Young,Other,142500,LotArea,7937
12,1964,Old,Other,158000,LotArea,9350
13,2006,Young,OneStory,337500,LotArea,12456
14,2003,Young,TwoStory,284000,LotArea,10625
15,1957,Old,OneStory,129900,LotArea,7100
16,1969,Old,OneStory,128500,LotArea,9920
17,1957,Old,OneStory,84000,LotArea,11500
18,1981,Young,OneStory,182900,LotArea,12546
19,1923,Old,Other,210000,LotArea,8737
20,1959,Old,OneStory,133700,LotArea,7560
21,1928,Old,Other,177000,LotArea,7558
22,2001,Young,OneStory,205000,LotArea,13704
23,2003,Young,OneStory,184900,LotArea,10083
24,1958,Old,Other,172500,LotArea,13650
25,1924,Old,Other,127000,LotArea,5000
26,2006,Young,OneStory,255500,LotArea,11146
27,2004,Young,OneStory,159000,LotArea,13695
28,1922,Old,Other,191000,LotArea,11526
29,1974,Young,Other,170000,LotArea,10625
30,1965,Old,OneStory,156000,LotArea,10289
31,2004,Young,TwoStory,148800,LotArea,5105
32,1994,Young,TwoStory,174000,LotArea,8125
33,2004,Young,OneStory,213000,LotArea,8400
34,1977,Young,Other,151000,LotArea,8471
35,1984,Young,OneStory,119500,LotArea,6951
36,1969,Old,TwoStory,172000,LotArea,11075
37,2004,Young,TwoStory,215000,LotArea,11796
38,1975,Young,OneStory,122000,LotArea,10356
39,2007,Young,OneStory,293077,LotArea,9520
40,1893,Old,Other,325000,LotArea,13500
41,1968,Old,OneStory,129000,LotArea,8724
42,1949,Old,OneStory,35311,LotArea,9000
43,2000,Young,TwoStory,181000,LotArea,8063
44,1978,Young,Other,165500,LotArea,9101
45,1910,Old,Other,96500,LotArea,8800
46,2007,Young,OneStory,318000,LotArea,12085
47,1966,Old,OneStory,149350,LotArea,8544
48,1957,Old,OneStory,257500,LotArea,14442
